Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C8",0402,3,100uF,
"C2, C4",0402,2,1uF,
C3,0402,1,4.7nF,
"C6, C7, C9",0402,3,10uF,
"D1, D2, D3",APDA3020P3C-P22,3,LED,
J1,GCT_FFC2B28-12-G,1,FFC2B28-12-G,
"Q1, Q2, Q3, Q4, Q5, Q6",APDA3020P3C-P22,6,APDA3020P3C-P22,
"R1, R2, R4, R5, R6, R7",0402,6,2.2K,
"R10, R8, R9",0402,3,220r,
R3,0201,1,2.2K,
U1,SOP65P640X120-28N,1,ADS1262IPWR,
